WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Auckland,ASB Classic,12/31/2023,WTA250,Outdoor,Hard,1st Round,3,Wang Xiy.,Cristian J.,71,87,937,831,6,1,5,7,7,6,2,1,Completed,1.44,2.75,1.53,2.62,1.53,2.78,1.48,2.61
1,Auckland,ASB Classic,1/1/2024,WTA250,Outdoor,Hard,1st Round,3,Avanesyan E.,Barry M.,74,649,917,62,7,6,6,2,,,2,0,Completed,1.05,11,1.05,14.08,1.05,16.43,1.04,11.37
1,Auckland,ASB Classic,1/1/2024,WTA250,Outdoor,Hard,1st Round,3,Navarro E.,Fruhvirtova L.,31,88,1480,829,2,6,6,4,6,2,2,1,Completed,1.36,3.2,1.45,2.9,1.45,3.2,1.39,2.96
1,Auckland,ASB Classic,1/1/2024,WTA250,Outdoor,Hard,1st Round,3,Tsurenko L.,Vickery S.,32,143,1451,537,7,5,6,4,,,2,0,Completed,1.5,2.63,1.48,2.79,1.5,2.96,1.47,2.67
1,Auckland,ASB Classic,1/1/2024,WTA250,Outdoor,Hard,1st Round,3,Parry D.,Bektas E.,76,91,904,820,6,7,7,5,6,3,2,1,Completed,2.3,1.62,2.26,1.69,2.36,1.69,2.24,1.64
1,Auckland,ASB Classic,1/1/2024,WTA250,Outdoor,Hard,1st Round,3,Bouzkova M.,Frech M.,36,70,1353,937,6,0,3,6,6,4,2,1,Completed,1.25,4,1.29,3.82,1.31,4.01,1.28,3.63
1,Auckland,ASB Classic,1/1/2024,WTA250,Outdoor,Hard,1st Round,3,Wang Xin.,Putintseva Y.,35,63,1383,1002,6,4,7,5,,,2,0,Completed,1.91,1.91,1.77,2.13,1.93,2.13,1.84,1.95
1,Auckland,ASB Classic,1/1/2024,WTA250,Outdoor,Hard,1st Round,3,Anisimova A.,Pavlyuchenkova A.,373,60,169,1045,7,5,6,4,,,2,0,Completed,2.5,1.53,2.61,1.54,2.75,1.54,2.59,1.49
1,Auckland,ASB Classic,1/1/2024,WTA250,Outdoor,Hard,1st Round,3,Sun L.,Kessler M.,214,217,362,359,6,4,6,3,,,2,0,Completed,2,1.8,2.14,1.76,2.14,1.82,2.04,1.76
1,Auckland,ASB Classic,1/2/2024,WTA250,Outdoor,Hard,1st Round,3,Martic P.,Masarova R.,41,65,1264,982,3,6,6,3,6,3,2,1,Completed,1.73,2.1,1.67,2.29,1.74,2.29,1.67,2.2
1,Auckland,ASB Classic,1/2/2024,WTA250,Outdoor,Hard,1st Round,3,Fruhvirtova B.,Blinkova A.,117,48,657,1170,7,5,6,4,,,2,0,Completed,1.62,2.3,1.61,2.42,1.8,2.42,1.63,2.28
1,Auckland,ASB Classic,1/2/2024,WTA250,Outdoor,Hard,1st Round,3,Gracheva V.,Martincova T.,42,156,1248,495,6,7,7,5,6,2,2,1,Completed,2,1.8,2.11,1.79,2.11,1.83,2.02,1.78
1,Auckland,ASB Classic,1/2/2024,WTA250,Outdoor,Hard,1st Round,3,Gauff C.,Liu C.,3,95,6690,797,6,4,6,2,,,2,0,Completed,1.08,8,1.06,11.34,1.08,11.34,1.06,8.88
1,Auckland,ASB Classic,1/2/2024,WTA250,Outdoor,Hard,1st Round,3,Svitolina E.,Wozniacki C.,25,256,1809,301,6,4,6,3,,,2,0,Completed,1.62,2.3,1.73,2.19,1.77,2.32,1.66,2.2
1,Auckland,ASB Classic,1/2/2024,WTA250,Outdoor,Hard,1st Round,3,Yuan Y.,Day K.,77,89,903,825,7,6,6,7,6,1,2,1,Completed,1.57,2.38,1.57,2.52,1.65,2.52,1.56,2.38
1,Auckland,ASB Classic,1/2/2024,WTA250,Outdoor,Hard,1st Round,3,Raducanu E.,Ruse E.G.,301,134,231,575,6,3,4,6,7,5,2,1,Completed,1.91,1.91,1.76,2.15,1.91,2.15,1.82,1.98
1,Auckland,ASB Classic,1/2/2024,WTA250,Outdoor,Hard,2nd Round,3,Wang Xiy.,Wang Xin.,71,35,937,1383,6,3,3,6,7,6,2,1,Completed,2.1,1.73,2.14,1.76,2.22,1.76,2.1,1.72
1,Auckland,ASB Classic,1/3/2024,WTA250,Outdoor,Hard,2nd Round,3,Navarro E.,Avanesyan E.,31,74,1480,917,6,1,6,2,,,2,0,Completed,1.22,4.33,1.24,4.44,1.25,4.81,1.22,4.18
1,Auckland,ASB Classic,1/3/2024,WTA250,Outdoor,Hard,2nd Round,3,Bouzkova M.,Anisimova A.,36,373,1353,169,6,0,6,1,,,2,0,Completed,1.57,2.38,1.67,2.3,1.67,2.4,1.61,2.29
1,Auckland,ASB Classic,1/3/2024,WTA250,Outdoor,Hard,2nd Round,3,Parry D.,Tsurenko L.,76,32,904,1451,2,6,6,4,6,1,2,1,Completed,3.2,1.36,3.28,1.37,3.3,1.37,3.17,1.35
1,Auckland,ASB Classic,1/3/2024,WTA250,Outdoor,Hard,2nd Round,3,Martic P.,Yuan Y.,41,77,1264,903,6,2,6,2,,,2,0,Completed,1.73,2.1,1.77,2.14,1.77,2.32,1.7,2.14
1,Auckland,ASB Classic,1/4/2024,WTA250,Outdoor,Hard,2nd Round,3,Gauff C.,Fruhvirtova B.,3,117,6690,657,6,3,6,0,,,2,0,Completed,1.06,10,1.08,9.36,1.09,10,1.07,8.31
1,Auckland,ASB Classic,1/4/2024,WTA250,Outdoor,Hard,2nd Round,3,Gracheva V.,Sun L.,42,214,1248,362,6,3,6,4,,,2,0,Completed,1.67,2.2,1.74,2.19,1.75,2.21,1.7,2.13
1,Auckland,ASB Classic,1/4/2024,WTA250,Outdoor,Hard,2nd Round,3,Svitolina E.,Raducanu E.,25,301,1809,231,6,7,7,6,6,1,2,1,Completed,1.44,2.75,1.47,2.85,1.54,2.85,1.46,2.69
1,Auckland,ASB Classic,1/4/2024,WTA250,Outdoor,Hard,Quarterfinals,3,Navarro E.,Martic P.,31,41,1480,1264,6,4,6,3,,,2,0,Completed,1.8,2,1.8,2.13,1.88,2.13,1.77,2.04
1,Auckland,ASB Classic,1/5/2024,WTA250,Outdoor,Hard,Quarterfinals,3,Gauff C.,Gracheva V.,3,42,6690,1248,6,1,6,1,,,2,0,Completed,1.04,13,1.05,14.7,1.09,14.96,1.05,10.58
1,Auckland,ASB Classic,1/5/2024,WTA250,Outdoor,Hard,Quarterfinals,3,Wang Xiy.,Parry D.,71,76,937,904,6,7,6,3,6,4,2,1,Completed,1.44,2.75,1.4,3.23,1.5,3.23,1.42,2.86
1,Auckland,ASB Classic,1/5/2024,WTA250,Outdoor,Hard,Quarterfinals,3,Svitolina E.,Bouzkova M.,25,36,1809,1353,6,0,6,3,,,2,0,Completed,1.8,2,1.98,1.93,1.98,2,1.88,1.91
1,Auckland,ASB Classic,1/6/2024,WTA250,Outdoor,Hard,Semifinals,3,Gauff C.,Navarro E.,3,31,6690,1480,6,3,6,1,,,2,0,Completed,1.08,8,1.13,7.12,1.13,8.2,1.1,6.99
1,Auckland,ASB Classic,1/6/2024,WTA250,Outdoor,Hard,Semifinals,3,Svitolina E.,Wang Xiy.,25,71,1809,937,2,6,6,4,6,3,2,1,Completed,1.25,4,1.26,4.34,1.32,4.34,1.26,3.85
1,Auckland,ASB Classic,1/7/2024,WTA250,Outdoor,Hard,The Final,3,Gauff C.,Svitolina E.,3,25,6690,1809,6,7,6,3,6,3,2,1,Completed,1.17,5,1.2,5.24,1.22,5.25,1.18,4.86
2,Brisbane,Brisbane International,12/31/2023,WTA500,Outdoor,Hard,1st Round,3,Andreeva M.,Shnaider D.,58,97,1060,785,6,2,6,3,,,2,0,Completed,1.22,4.33,1.25,4.26,1.25,4.41,1.22,4.21
2,Brisbane,Brisbane International,12/31/2023,WTA500,Outdoor,Hard,1st Round,3,Rodionova Ar.,Trevisan M.,113,46,677,1189,6,3,6,2,,,2,0,Completed,2.63,1.5,2.77,1.49,2.77,1.54,2.64,1.48
2,Brisbane,Brisbane International,12/31/2023,WTA500,Outdoor,Hard,1st Round,3,Kalinskaya A.,Pera B.,80,69,887,943,6,2,6,1,,,2,0,Completed,1.44,2.75,1.39,3.19,1.49,3.19,1.4,2.92
2,Brisbane,Brisbane International,12/31/2023,WTA500,Outdoor,Hard,1st Round,3,Schmiedlova A.,Dolehide C.,73,45,918,1193,3,6,6,4,6,2,2,1,Completed,2.38,1.57,2.39,1.63,2.52,1.65,2.35,1.59
2,Brisbane,Brisbane International,12/31/2023,WTA500,Outdoor,Hard,1st Round,3,Giorgi C.,Stearns P.,55,49,1089,1168,5,7,6,2,6,3,2,1,Completed,1.73,2.1,1.88,1.99,1.88,2.2,1.79,2.01
2,Brisbane,Brisbane International,12/31/2023,WTA500,Outdoor,Hard,1st Round,3,Stephens S.,Siniakova K.,44,50,1200,1162,7,5,6,3,,,2,0,Completed,2.1,1.73,2.29,1.68,2.29,1.75,2.18,1.68
2,Brisbane,Brisbane International,12/31/2023,WTA500,Outdoor,Hard,1st Round,3,Kostyuk M.,Bogdan A.,38,66,1316,956,4,6,6,3,6,3,2,1,Completed,1.5,2.63,1.48,2.79,1.5,2.88,1.47,2.68
2,Brisbane,Brisbane International,12/31/2023,WTA500,Outdoor,Hard,1st Round,3,Bucsa C.,Minnen G.,61,64,1023,999,5,7,6,3,6,1,2,1,Completed,1.73,2.1,1.71,2.22,1.8,2.22,1.72,2.11
2,Brisbane,Brisbane International,1/1/2024,WTA500,Outdoor,Hard,1st Round,3,Osaka N.,Korpatsch T.,N/A,83,N/A,847,6,3,7,6,,,2,0,Completed,1.29,3.75,1.3,3.79,1.35,3.79,1.31,3.42
2,Brisbane,Brisbane International,1/1/2024,WTA500,Outdoor,Hard,1st Round,3,Saville D.,Yastremska D.,209,98,366,767,6,0,6,4,,,2,0,Completed,3,1.4,2.81,1.48,3,1.49,2.79,1.43
2,Brisbane,Brisbane International,1/2/2024,WTA500,Outdoor,Hard,1st Round,3,Noskova L.,Babos T.,40,192,1278,404,5,7,7,6,7,6,2,1,Completed,1.2,4.5,1.24,4.35,1.24,4.66,1.21,4.33
2,Brisbane,Brisbane International,1/2/2024,WTA500,Outdoor,Hard,1st Round,3,Bronzetti L.,Krueger A.,52,78,1137,896,6,4,7,5,,,2,0,Completed,2.2,1.67,2.15,1.76,2.2,1.76,2.18,1.67
2,Brisbane,Brisbane International,1/2/2024,WTA500,Outdoor,Hard,1st Round,3,Gadecki O.,Birrell K.,124,115,607,671,4,6,6,0,6,4,2,1,Completed,1.53,2.5,1.54,2.6,1.55,2.75,1.52,2.51
2,Brisbane,Brisbane International,1/2/2024,WTA500,Outdoor,Hard,1st Round,3,Burel C.,Sonmez Z.,56,163,1081,478,6,4,6,2,,,2,0,Completed,1.33,3.4,1.39,3.18,1.39,3.4,1.36,3.17
2,Brisbane,Brisbane International,1/2/2024,WTA500,Outdoor,Hard,1st Round,3,Riera J.,Tomova V.,137,75,563,906,6,2,6,4,,,2,0,Completed,2.5,1.53,2.58,1.55,2.6,1.6,2.47,1.54
2,Brisbane,Brisbane International,1/2/2024,WTA500,Outdoor,Hard,1st Round,3,Collins D.,Baptiste H.,54,129,1090,583,6,1,4,6,6,3,2,1,Completed,1.25,4,1.28,3.98,1.29,4,1.26,3.82
2,Brisbane,Brisbane International,1/2/2024,WTA500,Outdoor,Hard,2nd Round,3,Rodionova Ar.,Kenin S.,113,37,677,1334,7,5,7,6,,,2,0,Completed,3.75,1.29,3.97,1.28,4,1.33,3.68,1.28
2,Brisbane,Brisbane International,1/2/2024,WTA500,Outdoor,Hard,2nd Round,3,Azarenka V.,Kalinskaya A.,23,80,1916,887,6,1,7,6,,,2,0,Completed,1.91,1.91,2.03,1.85,2.03,2,1.93,1.87
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Kudermetova V.,Schmiedlova A.,16,73,2720,918,6,2,6,3,,,2,0,Completed,1.2,4.5,1.2,5.03,1.21,5.16,1.19,4.58
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Potapova A.,Saville D.,28,209,1611,366,6,4,3,6,6,4,2,1,Completed,1.5,2.63,1.58,2.49,1.58,2.63,1.53,2.49
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Pliskova Ka.,Osaka N.,39,N/A,1287,N/A,3,6,7,6,6,4,2,1,Completed,2.5,1.53,2.5,1.58,2.51,1.63,2.4,1.56
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Noskova L.,Cirstea S.,40,26,1278,1800,6,4,4,6,6,4,2,1,Completed,1.8,2,1.83,2.05,1.83,2.05,1.79,2
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Sabalenka A.,Bronzetti L.,2,52,9050,1137,6,3,6,0,,,2,0,Completed,1.05,11,1.05,14.42,1.05,14.42,1.04,11.27
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Kasatkina D.,Kostyuk M.,18,38,2715,1316,6,3,6,4,,,2,0,Completed,1.91,1.91,1.98,1.89,2,1.96,1.92,1.87
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Riera J.,Alexandrova E.,137,21,563,2075,6,3,6,4,,,2,0,Completed,4.33,1.22,4.02,1.27,5.16,1.27,4.1,1.23
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Ostapenko J.,Giorgi C.,12,55,2830,1089,6,1,6,4,,,2,0,Completed,1.62,2.3,1.65,2.34,1.65,2.38,1.62,2.28
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Burel C.,Kalinina A.,56,27,1081,1630,6,4,6,1,,,2,0,Completed,2,1.8,2.04,1.84,2.04,1.95,1.96,1.84
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Andreeva M.,Samsonova L.,58,15,1060,2760,6,2,6,1,,,2,0,Completed,1.8,2,1.84,2.04,1.98,2.05,1.82,1.99
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Linette M.,Bucsa C.,22,61,1921,1023,6,3,7,5,,,2,0,Completed,2,1.8,2.01,1.86,2.1,1.89,1.99,1.8
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Mertens E.,Stephens S.,30,44,1506,1200,2,6,6,1,6,3,2,1,Completed,1.67,2.2,1.68,2.28,1.68,2.33,1.64,2.23
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Rybakina E.,Gadecki O.,4,124,6366,607,6,4,6,1,,,2,0,Completed,1.08,8,1.1,8.46,1.1,9.3,1.08,7.89
2,Brisbane,Brisbane International,1/3/2024,WTA500,Outdoor,Hard,2nd Round,3,Zhu L.,Collins D.,33,54,1420,1090,1,6,6,3,7,6,2,1,Completed,3.5,1.3,3.9,1.29,3.9,1.3,3.68,1.28
2,Brisbane,Brisbane International,1/4/2024,WTA500,Outdoor,Hard,3rd Round,3,Azarenka V.,Burel C.,23,56,1916,1081,7,5,6,2,,,2,0,Completed,1.44,2.75,1.43,3.03,1.49,3.04,1.44,2.77
2,Brisbane,Brisbane International,1/4/2024,WTA500,Outdoor,Hard,3rd Round,3,Noskova L.,Riera J.,40,137,1278,563,6,1,6,7,6,3,2,1,Completed,1.4,3,1.41,3.13,1.42,3.14,1.4,2.93
2,Brisbane,Brisbane International,1/4/2024,WTA500,Outdoor,Hard,3rd Round,3,Ostapenko J.,Pliskova Ka.,12,39,2830,1287,6,2,4,6,6,3,2,1,Completed,1.53,2.5,1.56,2.59,1.58,2.59,1.54,2.46
2,Brisbane,Brisbane International,1/4/2024,WTA500,Outdoor,Hard,3rd Round,3,Kasatkina D.,Linette M.,18,22,2715,1921,6,4,6,2,,,2,0,Completed,1.4,3,1.45,2.93,1.47,3.25,1.41,2.86
2,Brisbane,Brisbane International,1/4/2024,WTA500,Outdoor,Hard,3rd Round,3,Andreeva M.,Rodionova Ar.,58,113,1060,677,6,1,6,1,,,2,0,Completed,1.08,8,1.12,7.36,1.12,9.5,1.08,7.7
2,Brisbane,Brisbane International,1/4/2024,WTA500,Outdoor,Hard,3rd Round,3,Potapova A.,Kudermetova V.,28,16,1611,2720,7,5,6,7,6,4,2,1,Completed,3,1.4,3.11,1.41,3.11,1.46,2.91,1.4
2,Brisbane,Brisbane International,1/4/2024,WTA500,Outdoor,Hard,3rd Round,3,Rybakina E.,Mertens E.,4,30,6366,1506,6,1,6,0,,,2,0,Completed,1.29,3.75,1.3,3.87,1.3,4,1.27,3.72
2,Brisbane,Brisbane International,1/4/2024,WTA500,Outdoor,Hard,3rd Round,3,Sabalenka A.,Zhu L.,2,33,9050,1420,6,1,6,0,,,2,0,Completed,1.05,11,1.05,13.83,1.06,14.01,1.04,10.54
2,Brisbane,Brisbane International,1/5/2024,WTA500,Outdoor,Hard,Quarterfinals,3,Azarenka V.,Ostapenko J.,23,12,1916,2830,6,3,3,6,7,5,2,1,Completed,1.91,1.91,2.02,1.89,2.02,1.99,1.91,1.89
2,Brisbane,Brisbane International,1/5/2024,WTA500,Outdoor,Hard,Quarterfinals,3,Rybakina E.,Potapova A.,4,28,6366,1611,6,1,,,,,1,0,Retired,1.11,6.5,1.14,6.98,1.15,7.09,1.12,6.16
2,Brisbane,Brisbane International,1/5/2024,WTA500,Outdoor,Hard,Quarterfinals,3,Noskova L.,Andreeva M.,40,58,1278,1060,7,5,6,3,,,2,0,Completed,4,1.25,4.24,1.27,4.65,1.27,4.02,1.24
2,Brisbane,Brisbane International,1/5/2024,WTA500,Outdoor,Hard,Quarterfinals,3,Sabalenka A.,Kasatkina D.,2,18,9050,2715,6,1,6,4,,,2,0,Completed,1.11,6.5,1.14,6.8,1.14,8.5,1.12,6.38
2,Brisbane,Brisbane International,1/6/2024,WTA500,Outdoor,Hard,Semifinals,3,Rybakina E.,Noskova L.,4,40,6366,1278,6,3,6,2,,,2,0,Completed,1.14,5.5,1.2,5.31,1.2,5.58,1.17,5.01
2,Brisbane,Brisbane International,1/6/2024,WTA500,Outdoor,Hard,Semifinals,3,Sabalenka A.,Azarenka V.,2,23,9050,1916,6,2,6,4,,,2,0,Completed,1.13,6,1.17,5.96,1.18,6.19,1.15,5.5
2,Brisbane,Brisbane International,1/7/2024,WTA500,Outdoor,Hard,The Final,3,Rybakina E.,Sabalenka A.,4,2,6366,9050,6,0,6,3,,,2,0,Completed,1.91,1.91,2.03,1.88,5,1.4,5,1.4
3,Adelaide,Adelaide International,1/8/2024,WTA500,Outdoor,Hard,1st Round,3,Kostyuk M.,Kalinina A.,41,28,1223,1630,7,6,6,1,,,2,0,Completed,1.67,2.2,1.69,2.26,1.7,2.27,1.66,2.2
3,Adelaide,Adelaide International,1/8/2024,WTA500,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Haddad Maia B.,59,11,1046,2920,6,3,6,4,,,2,0,Completed,2.2,1.67,2.28,1.68,2.34,1.71,2.2,1.66
3,Adelaide,Adelaide International,1/8/2024,WTA500,Outdoor,Hard,1st Round,3,Bucsa C.,Paolini J.,61,30,1035,1530,6,3,6,3,,,2,0,Completed,3.4,1.33,3.43,1.35,3.45,1.4,3.26,1.33
3,Adelaide,Adelaide International,1/8/2024,WTA500,Outdoor,Hard,1st Round,3,Kalinskaya A.,Krejcikova B.,75,10,918,2945,7,5,3,6,7,5,2,1,Completed,2,1.8,2.09,1.8,2.25,1.8,2.08,1.75
3,Adelaide,Adelaide International,1/8/2024,WTA500,Outdoor,Hard,1st Round,3,Bogdan A.,Boulter K.,66,57,956,1085,,3,6,4,,,2,0,Completed,2.5,1.53,3.46,1.33,4.4,1.53,3.35,1.37
3,Adelaide,Adelaide International,1/8/2024,WTA500,Outdoor,Hard,1st Round,3,Pera B.,Badosa P.,69,74,943,922,3,6,6,2,6,3,2,1,Completed,2.63,1.5,3.29,1.37,3.29,1.52,2.85,1.42
3,Adelaide,Adelaide International,1/8/2024,WTA500,Outdoor,Hard,1st Round,3,Siegemund L.,Samsonova L.,89,14,814,2760,6,7,6,4,6,4,2,1,Completed,4.33,1.22,3.93,1.28,4.34,1.3,3.85,1.26
3,Adelaide,Adelaide International,1/9/2024,WTA500,Outdoor,Hard,1st Round,3,Ostapenko J.,Cirstea S.,12,26,2883,1746,2,6,6,2,6,4,2,1,Completed,1.5,2.63,1.56,2.56,1.57,2.63,1.53,2.48
3,Adelaide,Adelaide International,1/9/2024,WTA500,Outdoor,Hard,1st Round,3,Garcia C.,Preston T.,20,203,2330,382,6,4,1,6,6,3,2,1,Completed,1.14,5.5,1.16,5.71,1.18,5.92,1.15,5.38
3,Adelaide,Adelaide International,1/9/2024,WTA500,Outdoor,Hard,1st Round,3,Kudermetova V.,Krueger A.,16,78,2680,896,6,2,7,5,,,2,0,Completed,1.3,3.5,1.33,3.53,1.33,3.59,1.31,3.44
3,Adelaide,Adelaide International,1/9/2024,WTA500,Outdoor,Hard,1st Round,3,Siniakova K.,Pliskova Ka.,49,37,1150,1346,6,2,6,1,,,2,0,Completed,2.1,1.73,2.14,1.76,2.14,1.77,2.08,1.73
3,Adelaide,Adelaide International,1/9/2024,WTA500,Outdoor,Hard,1st Round,3,Kasatkina D.,Liu C.,15,104,2758,730,6,4,6,3,,,2,0,Completed,1.33,3.4,1.43,2.98,1.44,3.4,1.41,2.88
3,Adelaide,Adelaide International,1/9/2024,WTA500,Outdoor,Hard,1st Round,3,Alexandrova E.,Linette M.,21,24,2075,1896,3,6,7,6,7,5,2,1,Completed,1.62,2.3,1.67,2.45,1.67,2.45,1.61,2.3
3,Adelaide,Adelaide International,1/9/2024,WTA500,Outdoor,Hard,1st Round,3,Townsend T.,Sasnovich A.,80,83,870,831,6,3,7,6,,,2,0,Completed,2.2,1.67,2.2,1.71,2.22,1.71,2.21,1.68
3,Adelaide,Adelaide International,1/10/2024,WTA500,Outdoor,Hard,2nd Round,3,Pegula J.,Pera B.,5,69,5905,943,4,6,6,2,6,3,2,1,Completed,1.08,8,1.11,7.77,1.13,8,1.1,6.87
3,Adelaide,Adelaide International,1/10/2024,WTA500,Outdoor,Hard,2nd Round,3,Siegemund L.,Bogdan A.,89,66,814,956,6,4,7,5,,,2,0,Completed,2.1,1.73,2.01,1.88,2.15,1.88,2.02,1.78
3,Adelaide,Adelaide International,1/10/2024,WTA500,Outdoor,Hard,2nd Round,3,Pavlyuchenkova A.,Siniakova K.,59,49,1046,1150,2,6,6,3,6,2,2,1,Completed,1.73,2.1,1.79,2.12,1.87,2.12,1.79,2.01
3,Adelaide,Adelaide International,1/10/2024,WTA500,Outdoor,Hard,2nd Round,3,Kostyuk M.,Townsend T.,41,80,1223,870,6,3,2,6,6,4,2,1,Completed,1.5,2.63,1.53,2.65,1.57,2.75,1.52,2.52
3,Adelaide,Adelaide International,1/10/2024,WTA500,Outdoor,Hard,2nd Round,3,Ostapenko J.,Garcia C.,12,20,2883,2330,6,4,5,7,6,4,2,1,Completed,1.62,2.3,1.6,2.48,1.64,2.5,1.59,2.34
3,Adelaide,Adelaide International,1/10/2024,WTA500,Outdoor,Hard,2nd Round,3,Kasatkina D.,Kalinskaya A.,15,75,2758,918,5,7,6,4,7,5,2,1,Completed,1.62,2.3,1.81,2.1,1.81,2.3,1.67,2.19
